,mall_id,accuracy,best_iteration
0,m_822,0.9438138479001135,49
1,m_1175,0.9545095976860374,275
2,m_5076,0.9317884507568679,94
3,m_615,0.9423076923076923,74
4,m_4406,0.943344081068632,77
5,m_5825,0.8714285714285714,247
6,m_1790,0.940959409594096,89
7,m_8379,0.930298719772404,35
8,m_2123,0.9311663479923518,171
9,m_4543,0.8894433781190019,123
10,m_6803,0.4883720930232558,86
11,m_1085,0.9164733178654292,11
12,m_9068,0.9509364283830124,137
13,m_7523,0.945727741646109,92
14,m_625,0.9406896551724138,114
15,m_2333,0.9386098427194317,58
16,m_2415,0.9190864600326264,280
17,m_4121,0.9338394793926247,135
18,m_2058,0.8785425101214575,59
19,m_2878,0.8723947256486602,106
20,m_6167,0.7992424242424242,115
21,m_1293,0.8425040591737326,113
22,m_3445,0.9030197444831591,45
23,m_2715,0.8838808250572956,131
24,m_7800,0.7202955058485533,206
25,m_3313,0.9434416365824309,45
26,m_4187,0.8443258971871969,234
27,m_4515,0.9362527716186253,48
28,m_3517,0.9436562626672071,122
29,m_2578,0.9175732217573221,246
30,m_4459,0.9506089309878214,150
31,m_4168,0.8850336613153806,157
32,m_690,0.9051983173076923,265
33,m_6587,0.948051948051948,156
34,m_1089,0.9331997327989312,46
35,m_3054,0.8872964169381108,123
36,m_3501,0.9083612040133779,66
37,m_626,0.9259927797833934,226
38,m_4759,0.9497430039977156,147
39,m_909,0.8755968836391053,176
40,m_3916,0.9109548916227299,108
41,m_3839,0.8950571744743637,206
42,m_4828,0.9211860111505322,154
43,m_4011,0.8757729061270376,58
44,m_2270,0.9515177065767285,139
45,m_3528,0.918932527693857,119
46,m_3832,0.9425601750547046,147
47,m_622,0.9375415282392027,64
48,m_5352,0.9384551838083437,52
49,m_7168,0.710522285189156,161
50,m_4422,0.7863915225878416,319
51,m_4079,0.812603993344426,209
52,m_2467,0.9467281105990784,279
53,m_4341,0.904427882507672,105
54,m_1021,0.8849487785657998,66
55,m_5154,0.9474689589302769,58
56,m_2182,0.9408898993179604,79
57,m_8093,0.9228070175438596,165
58,m_4548,0.8892595063375583,116
59,m_979,0.9069682597592119,54
60,m_5810,0.8860898138006572,60
61,m_623,0.9621733149931224,101
62,m_1920,0.7615511551155115,134
63,m_4033,0.947682423129876,175
64,m_4495,0.9719626168224299,118
65,m_1950,0.9063405214032829,75
66,m_5767,0.9522821576763485,85
67,m_5529,0.8698315467075038,328
68,m_2267,0.8990238976775496,191
69,m_7973,0.8367683429513603,134
70,m_1409,0.9461608359836438,284
71,m_4923,0.9197994987468672,40
72,m_7601,0.8802507836990595,72
73,m_4094,0.9111554396194568,138
74,m_1831,0.9550763701707098,100
75,m_3112,0.9473892405063291,66
76,m_5892,0.9417977528089888,88
77,m_3005,0.9051012753188297,100
78,m_5085,0.9582233948988567,133
79,m_6337,0.8684251844873606,266
80,m_8344,0.9396603396603397,84
81,m_3739,0.912385207247456,214
82,m_2907,0.9680499449136981,86
83,m_4572,0.9214312061969753,161
84,m_2224,0.7897039897039897,66
85,m_9054,0.889273356401384,115
86,m_7994,0.9401159047005795,155
87,m_3425,0.935933147632312,73
88,m_1621,0.8598261844687413,228
89,m_3871,0.9495128432240921,227
90,m_968,0.9212448396316291,163
91,m_2009,0.9543899657924744,117
92,m_7374,0.9152957647882394,160
93,m_3019,0.8970047293746716,154
94,m_1375,0.9519803715387312,129
95,m_1263,0.8191186922530206,97
96,m_1377,0.8306929108657385,196
